Latitude,Longitude,Type
41.901962,-87.628530,Sports Bar
41.910537,-87.677956,Bar
41.925055,-87.694462,Bowling Alley
41.918369,-87.685134,Rock Club
41.910515,-87.634798,Comedy Club
41.890048,-87.627356,Jazz Club
41.758427,-87.608386,Lounge
41.900926,-87.627283,Jazz Club
41.893205,-87.622662,Steakhouse
41.910294,-87.693849,Bar
41.899914,-87.623471,Whisky Bar
41.917680,-87.679983,Bar
41.925845,-87.687954,Dive Bar
41.911586,-87.677470,Bar
41.924999,-87.687464,Pub
41.900078,-87.627130,Vietnamese Restaurant
41.806278,-87.723684,Nightclub
41.917414,-87.712780,Rock Club
41.792994,-87.728226,Bar
41.925054,-87.700947,Dive Bar
41.921470,-87.678914,Bar
41.918805,-87.687342,Bar
41.892586,-87.623257,Gay Bar
41.735627,-87.669602,Bar
41.901467,-87.628074,Bar
41.881131,-87.693913,Sports Bar
41.869150,-87.685952,Sports Bar
41.740524,-87.721383,Bar
41.948835,-87.658231,Bar
41.949217,-87.649594,Bar
41.937933,-87.819298,Bar
41.949932,-87.649057,Gay Bar
41.948578,-87.649353,Gay Bar
41.800861,-87.588828,Jazz Club
41.946999,-87.656710,Sports Bar
41.950401,-87.807384,Bar
41.950129,-87.664154,Bar
41.911247,-87.668856,Jazz Club
41.913562,-87.654101,Brewery
41.953736,-87.726418,Bar
41.890259,-87.644765,Pool Hall
41.901221,-87.631303,Arcade
41.924911,-87.640611,Nightclub
41.943886,-87.653901,Diner
41.940100,-87.652670,Diner
41.926186,-87.649844,Bar
41.895870,-87.676805,Coffee Shop
41.903285,-87.675702,Caf
41.909287,-87.675854,Lounge
41.902916,-87.679310,Bar
41.950161,-87.713733,Rock Club
41.907547,-87.672403,Dive Bar
41.916605,-87.687413,Bar
41.943993,-87.649258,Vegetarian / Vegan Restaurant
41.942413,-87.678379,Karaoke Bar
41.903363,-87.672732,BBQ Joint
41.887531,-87.642878,Burger Joint
41.865022,-87.789733,Music Venue
41.889371,-87.628149,Dive Bar
41.896056,-87.632686,Tapas Restaurant
41.830080,-87.634069,Baseball Stadium
41.948256,-87.655470,Baseball Stadium
41.927714,-87.706805,Concert Hall
41.895680,-87.681880,Pub
41.877233,-87.627958,Park
41.967212,-87.687652,Pub
41.943292,-87.671306,Pizza Place
41.883653,-87.630242,Plaza
41.910087,-87.685312,Vegetarian / Vegan Restaurant
41.880617,-87.674117,Stadium
41.902140,-87.628292,Asian Restaurant
41.906844,-87.634978,Sushi Restaurant
41.940755,-87.687901,Bar
41.945583,-87.649570,Coffee Shop
41.910376,-87.676177,Pizza Place
41.943006,-87.649276,Gay Bar
41.896487,-87.643292,Japanese Restaurant
41.940127,-87.650896,Dive Bar
41.924919,-87.700787,Mexican Restaurant
41.895745,-87.690637,Pub
41.889919,-87.637693,Latin American Restaurant
41.946193,-87.655953,Sports Bar
41.910438,-87.677922,Music Venue
41.903339,-87.672493,Jazz Club
41.997710,-87.660302,Bar
41.900311,-87.686908,Music Venue
41.879259,-87.631524,Pub
41.965213,-87.757947,Pool Hall
41.975887,-87.668452,Bar
41.893197,-87.635033,Lounge
41.899470,-87.696859,Bar
41.852751,-87.646248,Dive Bar
41.938120,-87.653968,Bar
41.903100,-87.628575,Sushi Restaurant
41.954578,-87.654753,Bar
41.994682,-87.660561,Bar
41.903962,-87.628841,Bar
41.934761,-87.661612,Bar
41.901657,-87.628271,American Restaurant
41.939661,-87.653963,Music Venue
41.890043,-87.629081,Piano Bar
41.884770,-87.651930,Pool Hall
41.928852,-87.656102,Bar
41.884284,-87.643282,Mediterranean Restaurant
41.943114,-87.676030,Bar
41.944408,-87.653965,Rock Club
41.961315,-87.688484,Diner
41.969178,-87.659170,Bar
41.986132,-87.674546,Bar
41.903994,-87.629915,Nightclub
41.956439,-87.680141,Rock Club
41.906906,-87.634546,Bar
41.944706,-87.663965,Bar
41.918936,-87.648775,Tapas Restaurant
41.954288,-87.676660,Music Venue
41.773744,-87.683362,Lounge
41.895629,-87.626422,Bar
41.949780,-87.658597,Bar
41.910469,-87.667704,Diner
41.889035,-87.629500,Steakhouse
41.929213,-87.647697,Bar
41.998523,-87.671090,Gay Bar
41.920111,-87.636599,American Restaurant
41.903151,-87.681581,Italian Restaurant
41.973360,-87.667733,Gay Bar
41.969261,-87.659853,Sports Bar
41.957882,-87.649657,Caf
41.939810,-87.669028,Sushi Restaurant
41.938346,-87.644376,Coffee Shop
41.908596,-87.674594,Breakfast Spot
41.890039,-87.628961,Bar
41.954225,-87.677782,Pub
41.951200,-87.659502,Bar
41.880866,-87.628932,Steakhouse
41.940280,-87.654011,Karaoke Bar
41.942437,-87.663693,Bowling Alley
41.920385,-87.692354,Rock Club
41.897166,-87.621374,Art Museum
41.942566,-87.652961,Hookah Bar
41.896228,-87.618795,School
41.961219,-87.683795,Lounge
41.977423,-87.668350,Bar
41.886770,-87.624849,Hotel
41.934115,-87.663657,Wine Bar
41.884628,-87.645104,Event Space
41.942683,-87.696305,Office
41.892016,-87.624136,American Restaurant
41.948675,-87.657844,Bar
41.929755,-87.706969,Burrito Place
41.967232,-87.678981,Sports Bar
41.947394,-87.654376,Sports Bar
41.882454,-87.622511,Park
41.719191,-87.702061,Asian Restaurant
41.932741,-87.653432,Thai Restaurant
41.912289,-87.677614,American Restaurant
41.909131,-87.634821,Bar
41.927691,-87.706988,Breakfast Spot
41.927935,-87.706428,American Restaurant
41.895770,-87.625664,Italian Restaurant
41.893965,-87.628059,American Restaurant
41.932502,-87.654580,Gym
41.935536,-87.646997,Sushi Restaurant
41.949798,-87.663938,Indie Movie Theater
41.891665,-87.626898,Asian Restaurant
41.790785,-87.583051,Science Museum
41.932910,-87.640223,Bar
41.876600,-87.634000,Dive Bar
41.916196,-87.670164,Pub
41.869326,-87.664020,Bar
41.884515,-87.648067,Mexican Restaurant
41.926429,-87.641264,Italian Restaurant
41.867587,-87.613714,Aquarium
41.880271,-87.624344,Sandwich Place
41.833569,-87.627187,University
41.866333,-87.606783,Planetarium
41.978555,-87.668311,Caf
41.909625,-87.676343,Art Gallery
41.967482,-87.687729,Caf
41.944342,-87.654467,Bar
41.935643,-87.705156,Bar
41.889560,-87.636891,Indian Restaurant
41.890874,-87.628117,Dive Bar
41.949587,-87.658485,Seafood Restaurant
41.881972,-87.630922,American Restaurant
41.946107,-87.655871,Sports Bar
41.935670,-87.644405,Mexican Restaurant
41.979786,-87.668730,Lounge
41.979321,-87.668281,Italian Restaurant
41.893507,-87.662180,Pub
41.893716,-87.633798,Steakhouse
41.893313,-87.625061,Steakhouse
41.911244,-87.634749,Coffee Shop
41.964175,-87.685456,Bar
41.893217,-87.620308,Sports Bar
41.923239,-87.645836,Pub
41.932204,-87.688253,Diner
41.948830,-87.688751,Bowling Alley
41.701623,-87.739772,American Restaurant
41.897102,-87.635161,Nightclub
41.937680,-87.649045,Hot Dog Joint
41.967436,-87.687907,German Restaurant
41.949695,-87.688253,Pizza Place
41.894773,-87.623848,Electronics Store
41.962608,-87.686722,Park
41.946559,-87.655813,Bar
41.922964,-87.645128,Sports Bar
41.921841,-87.664521,Pizza Place
41.908987,-87.634824,Lounge
41.893858,-87.637462,Nightclub
41.932192,-87.648857,Sports Bar
41.861891,-87.616761,Football Stadium
41.897949,-87.623724,Mall
41.886146,-87.623205,Office
41.906042,-87.648496,Nightclub
41.967637,-87.687786,Coffee Shop
41.893399,-87.615815,Hotel Bar
41.893290,-87.625471,Lounge
41.882707,-87.623798,American Restaurant
41.883815,-87.628642,Mall
41.921740,-87.633758,Zoo
41.891624,-87.608864,Pier
41.878604,-87.639012,Train Station
41.866173,-87.616943,History Museum
41.910130,-87.677181,Nightclub
41.990577,-87.660220,Thai Restaurant
41.989213,-87.660470,American Restaurant
41.990241,-87.660439,Bar
41.893884,-87.651328,American Restaurant
41.867739,-87.630858,Department Store
41.977247,-87.668347,Bookstore
41.890836,-87.629838,Nightclub
41.935539,-87.644285,Bar
41.965387,-87.686400,Caf
41.909296,-87.675876,Record Shop
41.882141,-87.626830,Record Shop
41.942708,-87.698060,Hot Dog Joint
41.896719,-87.626724,Seafood Restaurant
41.903060,-87.667251,Nightclub
41.909932,-87.677070,Lounge
41.913440,-87.648121,Molecular Gastronomy Restaurant
41.981203,-87.718277,Student Center
41.884036,-87.665362,Park
41.886673,-87.649025,Nightclub
41.965377,-87.660654,New American Restaurant
41.974057,-87.655110,Breakfast Spot
41.883972,-87.662932,Bar
41.968944,-87.659440,Coffee Shop
41.910582,-87.672347,Tattoo Parlor
41.910269,-87.673863,Latin American Restaurant
41.943700,-87.649406,Boutique
41.869314,-87.671162,Hospital
41.937108,-87.679814,Basketball Court
41.891192,-87.662230,Restaurant
41.917822,-87.653294,Hookah Bar
41.925035,-87.666585,Indie Movie Theater
41.884328,-87.654917,Pizza Place
41.961749,-87.673527,Art Gallery
41.897026,-87.665017,Bar
41.896975,-87.643433,Lounge
41.969005,-87.660095,Mexican Restaurant
41.971844,-87.679289,Breakfast Spot
41.909602,-87.676232,Bar
41.966255,-87.688499,Train Station
41.909735,-87.677572,Train Station
41.886961,-87.623027,Sandwich Place
41.933927,-87.645643,Record Shop
41.878989,-87.630074,Hotel
41.883183,-87.628282,Hotel
41.888451,-87.629341,Wine Bar
41.949938,-87.664194,Southern / Soul Food Restaurant
41.909048,-87.677422,Speakeasy
41.867852,-87.642037,Sandwich Place
41.922655,-87.697460,Bar
41.925251,-87.701036,Cocktail Bar
41.895934,-87.677850,Middle Eastern Restaurant
41.903213,-87.672599,Sushi Restaurant
41.915358,-87.687161,Bookstore
41.939478,-87.700354,Burger Joint
41.935271,-87.646776,Pub
41.910332,-87.662108,Grocery Store
41.890861,-87.627327,Thai Restaurant
41.868882,-87.624496,Breakfast Spot
41.892087,-87.618628,Gastropub
41.893085,-87.637900,Mexican Restaurant
41.945408,-87.655408,German Restaurant
41.950873,-87.664075,Ice Cream Shop
41.853391,-87.635051,Chinese Restaurant
41.769272,-87.616972,BBQ Joint
41.929609,-87.643172,Breakfast Spot
41.946293,-87.649363,Mexican Restaurant
41.939230,-87.644524,American Restaurant
41.948583,-87.649565,Grocery Store
41.917634,-87.680428,Cuban Restaurant
41.891752,-87.647583,Caf
41.923524,-87.639153,Indian Restaurant
41.869620,-87.653636,Caf
41.932868,-87.640775,Italian Restaurant
41.889851,-87.629807,American Restaurant
41.944079,-87.664104,Bagel Shop
41.947693,-87.657237,Fast Food Restaurant
41.912840,-87.638606,BBQ Joint
41.893159,-87.634758,Nightclub
41.943560,-87.671176,Bar
41.943564,-87.678452,Bar
41.893770,-87.635818,Sports Bar
41.877901,-87.629485,Coffee Shop
41.922901,-87.687471,BBQ Joint
41.984631,-87.697425,Sushi Restaurant
41.929306,-87.642731,Mexican Restaurant
41.888485,-87.635236,Building
41.891158,-87.619152,Movie Theater
41.879911,-87.625972,Pub
41.866830,-87.626131,Grocery Store
41.871207,-87.627704,Gym
41.879540,-87.626160,Coffee Shop
41.867413,-87.625914,Coffee Shop
41.878194,-87.625910,Coffee Shop
41.935394,-87.669544,Grocery Store
41.868098,-87.638772,Grocery Store
41.804120,-87.762347,Fast Food Restaurant
41.895777,-87.623048,Pizza Place
41.917831,-87.687281,Taco Place
41.883943,-87.642792,New American Restaurant
41.894243,-87.676987,Bar
41.884429,-87.643605,New American Restaurant
41.886336,-87.716732,Garden
41.875143,-87.627563,Burger Joint
41.890873,-87.617447,Gourmet Shop
41.879667,-87.624673,American Restaurant
41.960551,-87.683086,Bar
41.964028,-87.685579,Pub
41.929607,-87.648887,Sushi Restaurant
41.941529,-87.670122,Southern / Soul Food Restaurant
41.892753,-87.629746,French Restaurant
41.888528,-87.634079,Caf
41.963269,-87.673759,Pizza Place
41.995509,-87.660310,Bookstore
41.889898,-87.633881,Sports Bar
41.877550,-87.632189,Office
41.939729,-87.670146,Bar
41.885945,-87.628123,Asian Restaurant
41.947420,-87.654787,Beer Garden
41.946095,-87.655798,Bar
41.945334,-87.655202,Bar
41.946259,-87.655519,Bar
41.903169,-87.679068,Sports Bar
41.908378,-87.850059,Mexican Restaurant
41.911437,-87.634975,Mall
41.887082,-87.624151,Coffee Shop
41.889004,-87.634170,Food Court
41.899161,-87.627298,Wine Bar
41.951074,-87.659871,New American Restaurant
41.885186,-87.621546,Office
41.885310,-87.635595,Sandwich Place
41.881319,-87.624642,Gastropub
41.881024,-87.638676,American Restaurant
41.913450,-87.677588,Clothing Store
41.889944,-87.636186,Sandwich Place
41.953873,-87.655283,Train Station
41.871715,-87.653260,Sandwich Place
41.961611,-87.675433,Seafood Restaurant
41.936222,-87.661500,Pub
41.869400,-87.662970,Coffee Shop
41.879571,-87.623659,Art Museum
41.948923,-87.654170,Sports Bar
41.981880,-87.693606,Karaoke Bar
41.893273,-87.620392,Bakery
41.935527,-87.654238,Bar
41.954138,-87.676011,Bowling Alley
41.954184,-87.676373,American Restaurant
41.962731,-87.655596,Bar
41.921045,-87.677841,American Restaurant
41.910543,-87.676728,Pizza Place
41.923999,-87.636676,French Restaurant
41.850698,-87.631935,Chinese Restaurant
41.961628,-87.676091,Coffee Shop
41.961566,-87.675040,Bagel Shop
41.947231,-87.664058,Coffee Shop
41.961360,-87.683593,Coffee Shop
41.869345,-87.664993,Middle Eastern Restaurant
41.869340,-87.663288,Sandwich Place
41.869294,-87.664348,Hot Dog Joint
41.950362,-87.643557,Tennis Court
41.964946,-87.672939,Church
41.864785,-87.646542,Sushi Restaurant
41.864602,-87.646901,Coffee Shop
41.884886,-87.626122,Hot Dog Joint
41.888900,-87.634367,Sandwich Place
41.882184,-87.630932,General College & University
41.872105,-87.629158,Train Station
41.876281,-87.625688,University
41.887295,-87.623734,Sandwich Place
41.886593,-87.624088,Mediterranean Restaurant
41.914110,-87.628949,Field
41.887777,-87.627274,Seafood Restaurant
41.961537,-87.666260,Burrito Place
41.961728,-87.666121,Italian Restaurant
41.886049,-87.623793,Coffee Shop
41.885386,-87.624345,Ramen /  Noodle House
41.961451,-87.678389,Dive Bar
41.974445,-87.668107,Tapas Restaurant
41.898445,-87.636063,New American Restaurant
41.938113,-87.687704,Rock Club
41.893437,-87.631432,Hot Dog Joint
41.896997,-87.625845,Hot Dog Joint
41.882438,-87.624593,Italian Restaurant
41.898549,-87.625201,Steakhouse
41.979574,-87.668253,Cajun / Creole Restaurant
41.976184,-87.668894,Falafel Restaurant
41.979838,-87.674315,Breakfast Spot
41.966943,-87.687353,Sandwich Place
41.977717,-87.668316,Mediterranean Restaurant
41.868914,-87.639045,Bakery
41.869218,-87.662484,Italian Restaurant
41.965134,-87.673881,Pub
41.961523,-87.669400,Mexican Restaurant
41.882648,-87.626266,Middle Eastern Restaurant
41.874567,-87.639881,Pizza Place
41.881029,-87.629997,Auditorium
41.885493,-87.626223,Bar
41.894060,-87.622994,Caf
41.926388,-87.649870,Diner
41.944688,-87.663929,Ice Cream Shop
41.865779,-87.645099,Hot Dog Joint
41.886736,-87.626384,American Restaurant
41.945442,-87.663850,General Entertainment
41.758230,-87.619624,Vegetarian / Vegan Restaurant
41.957202,-87.727703,Pub
41.875988,-87.626190,Ice Cream Shop
41.883045,-87.626179,Breakfast Spot
41.950141,-87.727700,BBQ Joint
41.983519,-87.658011,Mexican Restaurant
41.976512,-87.668401,Scandinavian Restaurant
41.941451,-87.668943,Coffee Shop
41.946915,-87.657198,Taco Place
41.942112,-87.670401,Music Store
41.893324,-87.625765,Hotel
41.886352,-87.629091,Office
41.931714,-87.648929,Mexican Restaurant
41.926932,-87.648853,Thai Restaurant
41.871420,-87.627669,Pizza Place
41.953836,-87.654657,Coffee Shop
41.910581,-87.674814,Bookstore
41.973033,-87.659768,Thai Restaurant
41.901787,-87.628479,Bar
41.890394,-87.623413,Office
41.888485,-87.628344,Bowling Alley
41.915435,-87.685102,Latin American Restaurant
41.876838,-87.633631,Pub
41.940088,-87.644513,American Restaurant
41.917675,-87.687204,Taco Place
41.942000,-87.644591,Coffee Shop
41.893453,-87.626358,Mexican Restaurant
41.896350,-87.656521,Sushi Restaurant
41.891028,-87.632865,Rock Club
41.893377,-87.628112,Italian Restaurant
41.947109,-87.673236,Middle Eastern Restaurant
41.885205,-87.661790,Rock Club
41.791384,-87.593691,Restaurant
41.891573,-87.626078,Department Store
41.865346,-87.625861,Mexican Restaurant
41.940110,-87.644304,Mexican Restaurant
41.941075,-87.644270,Diner
41.943141,-87.644624,Cupcake Shop
41.942357,-87.670582,Bakery
41.883812,-87.627339,Department Store
41.882789,-87.628074,Department Store
41.882830,-87.652220,Southern / Soul Food Restaurant
41.886720,-87.648926,New American Restaurant
41.928891,-87.642402,Cupcake Shop
41.929477,-87.642760,Snack Place
41.928835,-87.642468,Seafood Restaurant
41.881759,-87.639961,Thai Restaurant
41.917630,-87.687649,Ice Cream Shop
41.953577,-87.654538,Thai Restaurant
41.925606,-87.658142,Library
41.879599,-87.635409,Sandwich Place
41.879539,-87.619836,General Entertainment
41.891642,-87.609051,Movie Theater
41.897405,-87.628064,Hot Dog Joint
41.891463,-87.608665,Fast Food Restaurant
41.952996,-87.649591,Mexican Restaurant
41.889958,-87.628527,Bar
41.816800,-87.613029,Coffee Shop
41.875357,-87.627602,Indian Restaurant
41.877326,-87.639549,Indian Restaurant
41.896703,-87.618885,College Academic Building
41.890784,-87.622040,Department Store
41.933868,-87.635062,Golf Course
41.932890,-87.641072,Fast Food Restaurant
41.893940,-87.623649,American Restaurant
41.894878,-87.629144,Grocery Store
41.947205,-87.653891,Pizza Place
41.885688,-87.653443,Middle Eastern Restaurant
41.886784,-87.672361,Brewery
41.878902,-87.630088,Gift Shop
41.878252,-87.635433,Fast Food Restaurant
41.940262,-87.644253,Drugstore / Pharmacy
41.936092,-87.644309,Fried Chicken Joint
41.936223,-87.644279,Soup Place
41.934011,-87.645769,French Restaurant
41.939876,-87.657229,Coffee Shop
41.879808,-87.636941,Bakery
41.891692,-87.626160,Japanese Restaurant
41.939947,-87.650794,Coffee Shop
41.877999,-87.642006,Diner
41.942133,-87.644484,Candy Store
41.911462,-87.634653,Mexican Restaurant
41.910959,-87.635247,Italian Restaurant
41.911543,-87.634470,Pub
41.881734,-87.633650,Nail Salon
41.881844,-87.633105,Italian Restaurant
41.908825,-87.634656,French Restaurant
41.910426,-87.634681,Bakery
41.932862,-87.639760,College Administrative Building
41.901494,-87.627854,American Restaurant
41.933351,-87.645528,Trade School
41.937008,-87.647783,Cosmetics Shop
41.941293,-87.644598,Farmers Market
41.910846,-87.652051,Clothing Store
41.909016,-87.653089,Grocery Store
41.885588,-87.623292,Pizza Place
41.945232,-87.706560,College Lab
41.946760,-87.646549,Grocery Store
41.896555,-87.635573,Diner
41.945122,-87.654963,Bar
41.917748,-87.638671,Bar
41.943245,-87.637682,Harbor / Marina
41.893461,-87.613091,Beach
41.787905,-87.740700,Airport
41.857943,-87.624092,Bar
41.926942,-87.641370,Bar
41.888253,-87.630129,Hotel
41.887710,-87.628734,American Restaurant
41.896161,-87.663784,American Restaurant
41.911334,-87.677630,American Restaurant
41.882744,-87.636850,Post Office
41.892566,-87.624807,Multiplex
41.892502,-87.625837,Asian Restaurant
41.942408,-87.644533,Sushi Restaurant
41.936877,-87.644335,Clothing Store
41.879459,-87.634062,Fast Food Restaurant
41.894849,-87.631467,Hotel
41.899061,-87.627182,Grocery Store
41.900667,-87.627442,American Restaurant
41.934817,-87.653727,Bar
41.937198,-87.644227,Burger Joint
41.900008,-87.627066,Clothing Store
41.918102,-87.653013,Bagel Shop
41.918219,-87.653390,Tea Room
41.932848,-87.644412,Cosmetics Shop
41.933125,-87.644463,Ramen /  Noodle House
41.925967,-87.661424,Gym
41.941624,-87.669173,Grocery Store
41.893351,-87.626324,Grocery Store
41.950014,-87.675592,Grocery Store
41.936587,-87.644184,Ice Cream Shop
41.937896,-87.644150,Bagel Shop
41.937801,-87.644482,Diner
41.854097,-87.633279,Plaza
41.939705,-87.671248,Ice Cream Shop
41.900705,-87.624362,Italian Restaurant
41.913694,-87.677335,Dessert Shop
41.885192,-87.635317,Sandwich Place
41.880384,-87.637992,Coffee Shop
41.939882,-87.651916,Sandwich Place
41.910531,-87.670107,Karaoke Bar
41.877737,-87.647177,Breakfast Spot
41.909937,-87.676890,Bookstore
41.880696,-87.640595,Italian Restaurant
41.910098,-87.676786,Bar
